proyecto_idproyecto,id_visita,id_partida,id_subpartida,proyecto_estado,proyecto_monto,catalogo_tipo_id_tipo,id_cliente,m2c,proyecto_duracion,porcentaje_real,porcentaje_programado,duplicado,diferencia,SinceridadAcumuladaTopadaMetodo3,SinceridadGeneralProyecto
1001,5,1,22,30,396060531.81,2,1,0.0,14,15.0,15.5082706,0,-0.5082705999999995,0.0164347159283606,0.0164347159283606
1001,5,1,23,30,396060531.81,2,1,0.0,14,50.0,15.488216,0,34.511784,0.0164347159283606,0.0164347159283606
1001,5,1,24,30,396060531.81,2,1,0.0,14,5.0,15.5031112,0,-10.5031112,0.0164347159283606,0.0164347159283606
1001,5,1,25,30,396060531.81,2,1,0.0,14,5.0,15.5004418,0,-10.5004418,0.0164347159283606,0.0164347159283606
1001,5,1,26,30,396060531.81,2,1,0.0,14,5.0,16.4108938,0,-11.4108938,0.0164347159283606,0.0164347159283606
1001,5,1,28,30,396060531.81,2,1,0.0,14,0.0,66.6666693,0,-66.6666693,0.0164347159283606,0.0164347159283606
1001,5,1,29,30,396060531.81,2,1,0.0,14,15.0,33.5885425,0,-18.588542500000003,0.0164347159283606,0.0164347159283606
1003,1,2,1,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.8302310339782343,0.9794580743439928
1003,1,2,2,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.8302310339782343,0.9794580743439928
1003,1,2,3,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.8302310339782343,0.9794580743439928
1003,1,2,4,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.8302310339782343,0.9794580743439928
1003,1,2,5,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.8302310339782343,0.9794580743439928
1003,1,2,6,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.8302310339782343,0.9794580743439928
1003,1,2,7,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.8302310339782343,0.9794580743439928
1003,1,2,8,11,193662000.0,3,1,9964.0,5,7.44,7.6058774,0,-0.1658773999999994,0.8302310339782343,0.9794580743439928
1003,1,2,14,11,193662000.0,3,1,9964.0,5,0.0,100.0,0,-100.0,0.8302310339782343,0.9794580743439928
1003,1,2,15,11,193662000.0,3,1,9964.0,5,99.999,101.0204072,0,-1.0214071999999987,0.8302310339782343,0.9794580743439928
1003,2,2,1,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9296015329859392,0.9794580743439928
1003,2,2,2,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9296015329859392,0.9794580743439928
1003,2,2,3,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9296015329859392,0.9794580743439928
1003,2,2,4,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9296015329859392,0.9794580743439928
1003,2,2,5,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9296015329859392,0.9794580743439928
1003,2,2,6,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9296015329859392,0.9794580743439928
1003,2,2,7,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9296015329859392,0.9794580743439928
1003,2,2,8,11,193662000.0,3,1,9964.0,5,19.27,52.6361306,0,-33.366130600000005,0.9296015329859392,0.9794580743439928
1003,2,2,9,11,193662000.0,3,1,9964.0,5,10.0,4.9934981,0,5.0065019,0.9296015329859392,0.9794580743439928
1003,2,2,13,11,193662000.0,3,1,9964.0,5,0.32,0.0,0,0.32,0.9296015329859392,0.9794580743439928
1003,2,2,14,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9296015329859392,0.9794580743439928
1003,2,2,15,11,193662000.0,3,1,9964.0,5,99.999,101.0204072,0,-1.0214071999999987,0.9296015329859392,0.9794580743439928
1003,3,2,1,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.970949191715237,0.9794580743439928
1003,3,2,2,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.970949191715237,0.9794580743439928
1003,3,2,3,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.970949191715237,0.9794580743439928
1003,3,2,4,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.970949191715237,0.9794580743439928
1003,3,2,5,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.970949191715237,0.9794580743439928
1003,3,2,6,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.970949191715237,0.9794580743439928
1003,3,2,7,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.970949191715237,0.9794580743439928
1003,3,2,8,11,193662000.0,3,1,9964.0,5,90.57,100.0,0,-9.430000000000009,0.970949191715237,0.9794580743439928
1003,3,2,9,11,193662000.0,3,1,9964.0,5,85.0,39.9999994,0,45.0000006,0.970949191715237,0.9794580743439928
1003,3,2,13,11,193662000.0,3,1,9964.0,5,46.0,30.0000005,0,15.9999995,0.970949191715237,0.9794580743439928
1003,3,2,14,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.970949191715237,0.9794580743439928
1003,3,2,15,11,193662000.0,3,1,9964.0,5,99.999,101.0204072,0,-1.0214071999999987,0.970949191715237,0.9794580743439928
1003,4,2,1,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9632814423659606,0.9794580743439928
1003,4,2,2,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9632814423659606,0.9794580743439928
1003,4,2,3,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9632814423659606,0.9794580743439928
1003,4,2,4,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9632814423659606,0.9794580743439928
1003,4,2,5,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9632814423659606,0.9794580743439928
1003,4,2,6,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9632814423659606,0.9794580743439928
1003,4,2,7,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9632814423659606,0.9794580743439928
1003,4,2,8,11,193662000.0,3,1,9964.0,5,88.8,100.0,0,-11.200000000000005,0.9632814423659606,0.9794580743439928
1003,4,2,9,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9632814423659606,0.9794580743439928
1003,4,2,10,11,193662000.0,3,1,9964.0,5,10.5,74.9999975,0,-64.4999975,0.9632814423659606,0.9794580743439928
1003,4,2,11,11,193662000.0,3,1,9964.0,5,99.999,74.9549555,0,25.0440445,0.9632814423659606,0.9794580743439928
1003,4,2,12,11,193662000.0,3,1,9964.0,5,60.0,100.0,0,-40.0,0.9632814423659606,0.9794580743439928
1003,4,2,13,11,193662000.0,3,1,9964.0,5,93.25,89.999999,0,3.250000999999997,0.9632814423659606,0.9794580743439928
1003,4,2,14,11,193662000.0,3,1,9964.0,5,99.999,100.0,0,-0.0010000000000047,0.9632814423659606,0.9794580743439928
1003,4,2,15,11,193662000.0,3,1,9964.0,5,99.999,101.0204072,0,-1.0214071999999987,0.9632814423659606,0.9794580743439928
1003,5,2,1,11,193662000.0,3,1,9964.0,5,100.0,100.0,0,0.0,0.9794580743439928,0.9794580743439928
1003,5,2,2,11,193662000.0,3,1,9964.0,5,100.0,100.0,0,0.0,0.9794580743439928,0.9794580743439928
1003,5,2,3,11,193662000.0,3,1,9964.0,5,100.0,100.0,0,0.0,0.9794580743439928,0.9794580743439928
1003,5,2,4,11,193662000.0,3,1,9964.0,5,100.0,100.0,0,0.0,0.9794580743439928,0.9794580743439928
1003,5,2,5,11,193662000.0,3,1,9964.0,5,100.0,100.0,0,0.0,0.9794580743439928,0.9794580743439928
1003,5,2,6,11,193662000.0,3,1,9964.0,5,100.0,100.0,0,0.0,0.9794580743439928,0.9794580743439928
1003,5,2,7,11,193662000.0,3,1,9964.0,5,100.0,100.0,0,0.0,0.9794580743439928,0.9794580743439928
1003,5,2,8,11,193662000.0,3,1,9964.0,5,100.0,100.0,0,0.0,0.9794580743439928,0.9794580743439928
1003,5,2,9,11,193662000.0,3,1,9964.0,5,100.0,100.0,0,0.0,0.9794580743439928,0.9794580743439928
1003,5,2,10,11,193662000.0,3,1,9964.0,5,100.0,100.0,0,0.0,0.9794580743439928,0.9794580743439928
